;cidade;descricao;contato;telefone;endereco;email;site
;Chapecó - SC;Ecofrigo Frigorífico;Compras - Cristiane Silva;(49) 3319-8200;SC 283, KM 08 Rodovia, SC-283, Chapecó - SC, 89800-000;cristiane.silva@ecofrigo.com.br;Voltou
;Chapecó - SC;Frigorífico Ansolin Ltda;Vitório sem interesse;(49) 3323-0340;Linha Monte Alegre s/n Interior, Chapecó - SC, 89801-972;;
;Chapecó - SC;Frigorífico Aurora Chapecó;Fabio Possa - Manutenção;(49) 3321-3700;Rua Aury Luiz Bodanese - Efapi, Chapecó - SC, 89817-000;;
;Chapecó - SC;IACH - Industrialização de Suínos;Emerson Taz - Manutenção;(49) 3321-3000;R. João Martins, 219-D - São Cristóvão, Chapecó - SC, 89803-040;emerson-taz;
;Chapecó - SC;Lussisa Alimentos;Cristiane Ferrarini critiane_ferrarini@yahoo.com.br;(49) 3329-2150;R. Heitor Vila Lobos, 1545 - Esplanada, Chapecó - SC, 89812-595;;Voltou
;Chapecó - SC;Sabadini Comércio de Carnes;Flavio;(49) 3324-1164;R. Peru, 275 D - Líder, Chapecó - SC, 89805-180;sabadini@sabadinicarnes.com.br;
;Concórdia - SC;Frigorífico Mattei;Adriana;(49) 3442-9483;Unnamed Rd, 89700-000, Concórdia - SC;financeiro@frigorificomattei.com.br;
;Concórdia - SC;Frigorífico Girardi;;(49) 3442-5387;R. Bélgica - Das Nações, Concórdia - SC, 89700-000;;
;Concórdia - SC;Frigorífico Varpi;Jacsiane;(49) 3442-9100;Rodovia SC 283 , KM 10 - Distrito de Santo Antônio, Concórdia - SC, 89703-780;compras@varpi.com.br;
;Erval Velho - SC;Fribaz - Frigorífico Bazotti;Deisiane;(49) 3552-0134;Estrada Interior, Erval Velho - SC, 89613-000;deisiane@fribaz.com.br;
;Gaspar - SC;Seara Alimentos LTDA;Ademar Albino / Mautenção Morales de Oliveira;(47) 3513-4800;Rod. Jorge Lacerda, 4455. Bairro - KM 20 - Poço Grande, Gaspar - SC;"ademar.albino@seara.com.br; morales.oliveira@seara.com.br";
;Ipuaçu - SC;JMS Frigorífico de Suínos;;;SC-479, 458, Ipuaçu - SC, 89832-000;;
;Irani - SC;Frigorífico Turmena;Priscila ;(49) 991829344 /  49 9805-3091;Irani - SC, 89680-000;contato@frigorificoturmena.com.br;
;Itaipulândia - SC;Frigorífico São Miguel Ltda;Keli;(45) 3240-8787;Rodovia PR 497, SN KM 20 - Bairro Linha Lageado Do Cedro - 85.880-000 - Itaipulândia - PR;comercial3@friella.com.br;
;Itajaí - SC;Seara Alimentos Ltda.;;(47) 3241-8500;Rod. Antônio Heil, 4155 - Itaipava, Itajaí - SC, 88316-001;;
;Itapiranga - SC;Seara Alimentos;Eloi Kaiser;(49) 3678-8001;R. do Comércio, 1399, Itapiranga - SC, 89896-000;eloi.kaiser@seara.com.br;
;Itapiranga - SC;JBS - Seara Alimentos LTDA.;Marcio Salabotto;(49) 3194-2037;Itapiranga - SC, 89896-000;marcio.salabotto@seara.com.br;
;Joaçaba - SC;Cooperativa Central Aurora Alimentos - Frigorífico Aurora Joaçaba;Rafael Dambros;(49) 3202-3100;Distrito Industrial - Rua Normélio Zilio, BR-282, Joaçaba - SC, 89600-000;rafael-dambros@auroraalimentos.com.br;
;Lacerdópolis - SC;Frigorífico D'Agostini e Posto de Vendas;Erika;(49) 3552-0196;R - Sete de Setembro, Lacerdópolis - SC, 89660-000;frigorificodagostini@gmail.com;
;Lages - SC;Seara Industria;Tatiane Tomazi;(49) 3251-2003;Lages - SC;tatiane.tomazi@seara.com.br;
;Luzerna - SC;Frigorífico Luzerna;Michele;(49) 3523-1775;Rodovia SC-452, s/n - Zona Rural, Luzerna - SC, 89609-000;frigorificoluzerna@hotmail.com;
;Maravilha - SC;Frigorífico Aurora Maravilha;Eduardo Bodanese;(49) 3664-6300;BR-282, km610 - Industrial, Maravilha - SC, 89874-000;eduardo-bodanese@auroraalimentos.com.br;
;Nova Erechim - SC;Friaves;Fabio Capelari-49 989029811;(49) 3333-3023 / 33333000 ;BR 282, KM 562, Bairro Suspiro - CEP: 89865-000 - Nova Erechim - SC;"manutencao@friaves.com.br; almoxarifado@friaves.com.br";
;Palmitos - SC;Abatedouro e Frigorífico Pouco Preço;Claudio;(49) 3647-1670;R. Machado de Assis, 1, Palmitos - SC, 89887-000;abatedouropoucopreco@hotmail.com;
;São José - SC;Seara Alimentos São José-SC;Vinicius Pessoa (9066) Tiago Alves(9025);(48) 3381-9000;Estr. Geral de Alto Forquilhas, 3853 - Colônia Santana, São José - SC;vinicius.pessoa@seara.com.br, tiago.alves@seara.com.br;
;São José do Cedro - SC;Frigorífico Malvessi;;(49) 3643-0859;Linha São Vicente - s/n, São José do Cedro - SC, 89930-000;;
;São Miguel do Oeste - SC;Frioeste;Marcelo;(49) 3622-0703;Estr. p/ Linha Filomena, s/n - São Gotardo, São Miguel do Oeste - SC, 89900-000;compras@frioeste.com.br;
;São Miguel do Oeste - SC;Aurora Alimentos - Frigorífico São Miguel D'Oeste;Everaldo Santos;(49) 3631-0800;R. Dr. Nagibe Francisco - Santa Rita, São Miguel do Oeste - SC, 89900-000;everaldo-santos@auroraalimentos.com.br;
;São Miguel do Oeste - SC;Frigorifico R. Silva;;(86) 3219-1576;R. Santa Me. Paulina, 3859 - Vila Irmã Dulce, São Miguel do Oeste - SC, 89900-000;;
;São Miguel do Oeste - SC;JBS / SEARA Sao Miguel Do Oeste SC;;(49) 3197-2000;São Miguel do Oeste - SC, 89900-000;;
;São Miguel do Oeste - SC;Frigorífico Aurora;;(49) 3622-7500;Avenida Nagib Francisco, 415 - Santa Rita, São Miguel do Oeste - SC, 89900-000;;
;São Miguel do Oeste - SC;Seara Alimentos;Roberto Ecker;(49) 3631-2400;Av. Salgado Filho, 69 - Estrela, São Miguel do Oeste - SC, 89900-000;roberto.ecker@seara.com.br;
;Seara - SC;Afrib Alimentos;Jefferson;(49) 3452-1460;R. Zacarias Nava, 1346 - Centro, Seara - SC, 89770-000;jefferson@afrib.com.br;
;Seara - SC;Frigolaste Alimentos;Ricardo;(49) 3452-1905;SC-283, 04, Seara - SC, 89770-000;ricardo@frigolaste.com.br;
;Seara - SC;JBS Seara;;;R. Getúlio Vargas, 38, Seara - SC, 89770-000;;
;Xanxerê - SC;Frigorífico Arvoredo;Solange;(49) 3431-0091;Rod. SC 480 - Km 03 - - Barro Preto, Xanxerê - SC, 89820-000;compras2@frigorificoarvoredo.com.br;
;Xanxerê - SC;Frigorífico Romani;;(49) 34419000;Linha Pesqueiro Meio - s/n, Xanxerê - SC, 89820-000;;
;Xanxerê - SC;Frigorifico Rebelatto;;; Xanxerê - SC, 89820-000;;
;Xanxerê - SC;Frigorífico GloboAves;;(49) 3446-1000;Lindóia do Sul - SC, 89735-000;;
;Xanxerê - SC;Frigorífico Unibom;;;Unnamed Road, Xanxerê - SC, 89820-000;;
;Xanxerê - SC;Seara Alimentos;;(49) 3433-0322;BR-282, 1 - São Romero, Xanxerê - SC, 89820-000;;
;Xaxim - SC;Aurora Alimentos - Frigorífico Xaxim;Daniel;(49) 3353-8650;R. André Lunardi, 830 - Centro, Xaxim - SC, 89825-000;Danielv@auroraalimentos.com.br;
;Xaxim - SC;Frigorífico Coloninho;Odair;(49) 3353-2573;R. Gov. Irineu Bornhausem, Xaxim - SC, 89825-000;contato@coloninho.com.br;
;São Ludgero - SC;FRIGORIFICO FRIGO TITUS LTDA;Junior;(48) 3657-1628;SC-108 - Divina Providência, São Ludgero - SC, 88730-000;gta@frigotitus.com.br;
;Laguna - SC;LAGUBRAS -Indústria e Comercio de Pescados;Telo;(48) 3644 5465 (48) 3644 5466;km 331, Estr. Geral Barranceira, 101, Laguna - SC, 88790-000;telo@lagubras.com.br;
;Santa Cecília - SC;Frigorífico Irmãos do Valle;"Manutenção - Miguel; Compras-Franciele";(49) 3244-0027;Rodovia BR-116, Km 116, s/n, Santa Cecília - SC, 89540-000;"miguel@irmaosdovalle.com.br; compras@irmaosdovalle.com.br";
;Itajaí / SC;ARFRIO;;;Av. Gov. Adolfo Konder,  2100 – S.Vicente  - Itajaí/SC;;
;Quilombo - SC;FRIGORÍFICO AURORA QUILOMBO (SC);Mauricio Klein;(49) 3346-2100;Rodovia SC 157 Km - 55, , 89850-000, Quilombo - SC;mauricio-klein@auroraalimentos.com.br;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;CURITIBA ;BRF - CURITIBA CHEFÃO;Roberto Fukumoto;41 34018377;Roberto.fukumoto@brf.com;;
;Alto Paraná - PR;Frigorifico Barra Mansa;Thiago Cunha;16 21055300;Sítio Nossa Sra. Aparecida, Alto Paraná - PR, 87750-000;;thiago.cunha@barramansaalimentos.com.br
;Arapongas - PR;Frigomax Frigorífico e Com de Carnes;;(43) 3276-3686;R. Pinta Roxa, 172 - Vila Cascata, Arapongas - PR, 86701-460;;
;Bituruna - PR;Frigorífico Sta Clara;Miriam;(42) 3553-2998;Av. Paraná, 446, Bituruna - PR, 84640-000;contato@frigorificosantabarbara.com.br;
;Campo Magro - PR;Frigosantos;Fran;(41) 3677-5250;R. Profa. Iolanda Romeu, 90 - Passaúna, Campo Magro - PR, 83535-000;frantoaldo@hotmail.com;
;Campo Magro - PR;Jmi Novak Frigorifico;Claudio;(41) 3272-1300;Rod. Eng. Ângelo Lopes, 14299 - Jardim Veneza, Campo Magro - PR, 83535-000;comprasfrigonovak@outlook.com;
;Castro - PR;Frigorífico Nuzda;;(42) 3233-1469;R. João Carvalho de Macedo, 14 - Cantagalo, Castro - PR, 84178-460;;
;Chopinzinho - PR;Frigorífico Bertoncelli;Roberta;(46) 3242-2244;PR-281, s/n - Lagoão, Chopinzinho - PR, 85560-000;frigorificobertoncelli@hotmail.com;
;Cianorte - PR;Frigorífico Vale do Ivaí;;(44) 3629-4417;Estrada para São Lourenço - s/n Km 00 lt 946, Cianorte - PR, 87200-000;;
;Cornélio Procópio - PR;Frigorífico Big Peixe;Carol;(43) 3542-3500;Sítio São Vicente - Agua Limpa, Cornélio Procópio - PR, 86300-000;financeiro@bigpeixe.net;
;Cruzeiro do Oeste - PR;Frigoastra;Edson Bueno / Matheus;(44) 3676-8100;R. Peabiru, s/n - Km 1, Cruzeiro do Oeste - PR, 87400-000;"compras@frigoastra.com.br; compras3@frigoastra.com.br";
;Cruzeiro do Oeste - PR;Frigorífico Frigocruz Ltda;Dyonathan de Paula Leite;(44) 3676-5190;Rodovia Pr 323 Km 281, Cruzeiro do Oeste - PR, 87400-000;almoxarifadofrigocruz@hotmail.com;
;Curitiba - PR;Frigorífico Bizinelli;Johnny Teixeira;(41) 3274-3838;Rua Maria Bizinelli, 530 - Campo Comprido, Curitiba - PR, 81210-154;johnnyteixeira@hotmail.com;
;Curitiba - PR;Frigorífico Família Costa;Grizieli;(41) 3207-2950;Estr. do Ganchinho, 4091 - Ganchinho, Curitiba - PR, 81930-160;financeiro@frigorificofamiliacosta.com.br;
;Curitiba - PR;Frigorífico Terra Brasil;;(41) 3339-4640;R. Papa João Paulo I, 221 - Vista Alegre, Curitiba - PR, 82100-130;;
;Curitiba - PR;Catei Armazém & Frigorífico; frigo.catei@gmail.com;(41) 3257-2111;R. Venezuela, 490 - Bacacheri, Curitiba - PR, 82510-100;;
;Curitiba - PR;Associação Brasileira de Frigoríficos;http://www.abrafrigo.com.br/;(41) 3021-3221;Av. Cândido de Abreu, 427 - Centro, Curitiba - PR, 80530-000;;
;Curitiba - PR;Frigorífico Tapajós;;(41) 3362-2717;R. Gen. Carneiro, 1280 - Centro, Curitiba - PR, 80060-150;;
;Dois Vizinhos - PR;Frigorifico Miolar;Orlei;(46) 3536-1290;Rua laudelino miola - Santa Luzia, Dois Vizinhos - PR, 85660-000;compras@miolar.com.br;
;Foz do Iguaçu - PR;Frigorifico Miolar - Unidade Foz do Iguaçu;Na Matriz;(45) 3525 6272;Av. Perimetral Leste, 468, esquina Rua Irani Garcia. Distrito Industrial Morumbi Foz do Iguaçu - PR CEP: 85858-740;;
;Goioerê - PR;Frigorífico Marrua;Karen 44 - 98870165;(44) 3522-4041;BR-272, 428 - Jaracatiá, Goioerê - PR, 87360-000;compras@frigorificomarrua.com.br;
;Irati - PR;Frigorífico DERGI;;;Irati - PR, 84500-000;;
;Itaipulândia - PR;Abatedouro Bom Jesus - Frigorífico São Miguel Ltda - UNIDADE ITAIPULÂNDIA;;(45) 3240-8787;Rodovia PR 497, SN KM 20 / Bairro Linha Lageado Do Cedro / 85.880-000 - Itaipulândia - PR;;
;Ivaí - PR;Frigorífico Frigonesi;contato@frigonesi.com.br;(42) 3247-6034;Rod Br 487, Km 54 - Atanazildo, Ivaí - PR, 84460-000;;
;Ivaiporã - PR;FRIGORIFICO FRIGOCENTER;Lucas (43) 99690-7901;(43) 3472-2303;Estr. Vicinal - PARQUE INDUSTRIAL, Ivaiporã - PR, 86870-000;frigocenter.ivp@gmail.com;
;Joaquim Távora - PR;Frigorífico Rajá Ltda;Andreia Fiats;(43) 3559-8100;Rodovia Governador Parigot de Souza, 092 - KM 330 - Zona Rural, Joaquim Távora - PR, 86455-000;andreia.fiats@hotmail.com;
;Lindoeste - PR;Padrão Beef - Cooperativa de Carnes;http://www.padraobeef.com.br/;(45) 3237-1433;Rod. PRT 163, kM 174, Passo do Goes, cep 85826-000, Lindoeste/PR;;
;Loanda - PR;Frigorífico 3R;https://frigorifico3r.com.br/;(44) 3425-5000;Rod. PR-182 Km 3, s/n - Zona Rural, Loanda - PR, 87900-000;;
;Loanda - PR;Frigorifico Boi Gordo;;(44) 3425-4242;Estr. do Matadouro Mun., 2-70, Loanda - PR, 87900-000;;
;Londrina - PR;Frigorífico Frigoprata;;(43) 3338-4120;R. Gonçalo Monteiro, 216 - Sabará I, Londrina - PR, 86066-070;;
;Marmeleiro - PR;Frispar;contato@frispar.com.br;(46) 991290470;Marmeleiro - PR, 85615-000;;
;Medianeira - PR;Friella Agroindustrial Ltda;Itacir / Vanessa;(45) 3240-8700;Rodovia BR 277 KM 680 - Bairro Bom Jesus - 85.884-000 - Medianeira - PR;"frete@friella.com.br; logistica@friella.com.br";
;Medianeira - PR;Abatedouro Bom Jesus Ltda;;(45) 3240-8747;Rodovia BR 277 KM 680 S/N - Bairro Bom Jesus - 85.884-000 - Medianeira - PR;;
;Medianeira - PR;Abatedouro Bom Jesus - FRIELLA AGROINDUSTRIAL;;(45) 3240-8700;Rodovia BR 277 KM 680  Bairro Bom Jesus 85.884-000 - Medianeira - PR;;
;Medianeira - PR;Abatedouro Bom Jesus - ABATEDOURO BOM JESUS;;(45) 3240-8747;Rodovia BR 277 KM 680 S/N Bairro Bom Jesus  85.884-000 - Medianeira - PR;;
;Nova Santa Rosa - PR;Frigorífico Schaedler;;(45) 3253-2177;Linha Gabiroba - s/n Km 1.5, Nova Santa Rosa - PR, 85930-000;;
;Paiçandu - PR;Frigorifico Big Boi;http://frigorificobigboi.com.br/;(44) 3043-7900;Rodovia PR 323 - Km3 - Gleba Ribeirão Paiçandu - PR, 87140-000;;
;Pato Branco - PR;Frigorífico Frigran;;(46) 3223-4924;Rodovia PR 280 - s/n Km 138, Pato Branco - PR, 85508-280;;
;Pato Branco - PR;Frigorífico Bertinatto;Andre;(46) 3213-1171;Rodovia Barão 158 s/n Km 523 cx postal 357 Zona Rural, PR, 85504-670;andre@carnesbertinatto.com;
;Rio Negro - PR;Frigorífico Primaz;Angela;(47) 3645-0447;Rodovia BR 116, Km 202 Bairro Roseira - Rio Negro - PR - 88830-000;recepcao@primazalimentos.com.br;
;Salto Veloso  - PR;Frigorifico SZ;Emeline - ;(49) 3536-0665;Salto Veloso - SC, 89595-000;frigorificosv@hotmail.com;
;Sâo Jorge D' Oeste - PR;Frigorifico Miolar - Unidade São Jorge D'Oeste;qualidade@miolar.com.br;(46) 3534-1862;End. Rodovia PR 281 KM 98 Sâo Jorge D' Oeste - PR;;
;Sâo Jorge D' Oeste - PR;Frigorifico Miolar - Unidade Terminadora de Suínos;integracao@miolar.com.br;;End. Linha São Judas Tadeu Sâo Jorge D' Oeste - PR CEP: 85575-000;;
;Sâo Jorge D' Oeste - PR;Frigorifico Miolar - Unidade de Confinamento de Novilho Precoce;integracao@miolar.com.br;;End. Linha São Judas Tadeu Sâo Jorge D' Oeste - PR Bairro. Linha Progresso CEP: 85575-000;;
;São José dos Pinhais - PR;Frigorífico Juliatto;pedido@juliatto.com.br;(41) 3283-4700;R. Dr. Murici, 1501 - Costeira, São José dos Pinhais - PR, 83015-290;;
;São José dos Pinhais - PR;Frigorifico Argus;Adriana;(41) 3283-8585;R. Noel Gomes de Almeida, 1100 - São Marcos, São José dos Pinhais - PR, 83090-145;secretaria.sjp@grupoargus.com.br;
;São Miguel do Iguaçu - PR;Frigorífico São Miguel Ltda;Marcio Boreli;(45) 3240-8767;Rodovia BR 277 KM 695, S/N - Bairro Cacic - 85.877-000 - São Miguel do Iguaçu - PR;manutencao11@friella.com.br;
;Toledo - PR;Frigorífico Bolson;contato@frigorificobolson.com.br;(45) 999710625 45 3277-3340;R. Edvino Frank, 2-18 - Centro Industrial Meinolfo H Heiss, Toledo - PR, 85915-170;;
;Toledo - PR;Frigorífico Sardella;Carla;(45) 3252-7113;Toledo - PR;sardella.stuany@hotmail.com;
;Umuarama - PR;Frigorífico Esplanada;Edison;(44) 3056-6233;R. Santiago, 3900 - Jardim Panorama, Umuarama - PR, 87501-658;esplanadamanutencao@hotmail.com;
;;;;;;;
;;;;;;;
;Alta Floresta - MT;Frigorifico Alvorada;Cleonice Pellenz;(66) 3521-8301;Alta Floresta - MT, 78580-000;cleonicepellenz@hotmail.com;
;Guarantã do Norte - MT;Frigorífico Redentor;;(66) 3552-3107;Avenida Alcides Moreno Scampelini s/n qd 1 lt 2A, Guarantã do Norte - MT, 78520-000;;
;Juína - MT;Frigorífico RS;Manuela Ramos Savoine;(66) 98433-7598;Caminho Vicinal 10, Juína - MT, 78320-000;;
;Juína - MT;Frigorifico Juina;;(66) 3566-2320;Linha 6, Chacara 110 Zona Rural, Juína - MT, 78320-000;contato@frigorificojuina.com.br;
;Matupá - MT;Frigorífico Matupã Ltda;;(66) 3595-3500;BR-163, Matupá - MT, 78525-000;;
;Matupá - MT;Frigorífico Frialto;;(66) 3511-8010;78525-000, Matupá - MT;;
;Nova Mutum - MT;Frigorífico Excelência Natural Pork Alimentos S/A;Juliano Camargo / Neilson - Eng. Eletrecista 34 96786148;(65) 3308-5500;Rodovia BR 163 KM 585 - St. Industrial Sul, Nova Mutum - MT, 78450-000;juliano.camargo@excelenciamt.com.br;
;Pontes e Lacerda - MT;Frigorífico JBS;;(65) 3266-9100;78253-000, BR-174, 1505, Pontes e Lacerda - MT, 78253-000;;
;Rondonópolis - MT;Frigorifico Agra;Waldione;(66) 2101-2200;BR-163, S/n - Zona Rural, Rondonópolis - MT;manutencao.agra@agraagroindustrial.com.br;
;Cuiabá - MT;(Matriz) Suinobras Alimentos Ltda Frigorífico ;Diogo Bonifacio;65 3027-3500;Av. Historiador Rubens de Mendonça, 2368 - Ed.Top Tower - Sala 1502 Bosque da Saúde - Cuiabá/MT - CEP: 78.050-000;diogo.bonifacio@suinobras.com.br;
;Pedra Preta - MT;(Granja Petrovina) Suinobras Alimentos Ltda Frigorífico ;;66 3027-9500;Rod. BR 364 KM 600 - Zona Rural Pedra Preta/MT - CEP: 78.795-000;;
;Rosário Oeste - MT;(Granja Diamantino) Suinobras Alimentos Ltda Frigorífico ;Luan Silva;(65) 3337-3600;Rod. BR 364 KM 600 - Zona Rural Diamntino/MT - CEP: 78.400-000.;luan.silva@suinobras.com.br;
;Sinop - MT;Frigorífico Frigobom;Compras - Marcia (66999879770) / Manutenção - Sergio (66999553947);(66) 3905-1940;Setor Comercial, Av. das Embaúbas, 828 - St. Industrial Sul, Sinop - MT, 78550-110;Whats;
;Sinop - MT;Frigorifico Forteza;;(66) 3515-6089;St. Comercial, Sinop - MT;;
;Sorriso - MT;Frigorifico Nutribras;Compras - Felipe (66996279191);(66) 3545-4250;Anel Viário Norte, S/n - Zona Rural, Sorriso - MT, 78890-000;compras2@nutribrasalimentos.com.br;
;Tangará da Serra - MT;Seara Alimentos LTDA;;(65) 3311-8000;Tangará da Serra - MT, 78300-000;;
;Tangará da Serra - MT;Marfrig Frigorífico e Comércio de Alimento;;(65) 3311-3800;Rod MT 358, km 5, Setor W, VilaEsmeralda I, 78300-000, Tangará da Serra - MT;;
;Várzea G - MT;Frigorifico Pantanal;Fabio ;(65) 3028-9550;Unnamed Road, Várzea Grande - MT;compras@163beef.com.br;
;;;;;;;
;;;;;;;
;Frigorificos FRIMESA;;;;;;
;Medianeira - PR;"Frimesa -  Sede 
";Anderson Silva / Alisson Erico aerico@frimesa.com.br;45 3264-8000;Rua Bahia, 159;"andersonsilva@frimesa.com.br; ";
;Aurora - SC;"Frimesa - Unidade Industrial de Lácteos
";;47 3533–5183;Rua Francisco Klaumann, 175;;
;Capanema - PR;"Frimesa - Unidade Industrial de Lácteos

";Flavio;46 3552–1966;Av. Geraldo Fulber, 347;flavio@frimesa.com.br;
;Marechal Cândido Rondon - PR;"Frimesa - Unidade Industrial de Lácteos - 

";;45 3284–8000;Rodovia BR 163, Km 283;;
;Matelândia - PR;"Frimesa - Unidade Industrial de Lácteos - 

";Oscar Luis / Cleiton Nuche cnucheflm@frimesa.com.br;45 3262–8000;Estrada Waldemar Justen, 1157;"oscarluis@frimesa.com.br; ";
;Marechal Cândido Rondon - PR;"Frimesa - Unidade Frigorífica - 

";Janaina Silva / Leandro Girardi;45 3284-4955;Rod. BR 163, KM 282, S/N;jsilvaufq@frimesa.com.br, lgirardi@frimesa.com.br;
;Aparecida do Taboado - MS;FRIGORÍFICO SUL LTDA MATRIZ - Aparecida do Taboado - MS;Fernando;(67) 3565-9000;;compras.apms@frigosul.com.br ;
;;;;;;;
;;;;;;;
;Alagoinhas - BA;Frigoalas - Frigorífico Regional de Alagoinhas;Marco Antonio / Julio Nascimento;(75) 3182-3000;Est. Narandiba, Fazenda Sra. Santana - Narandiba, Alagoinhas - BA, 48107-000;"compras@frigoalas.com.br; gerencia@frigoalas.com.br";
;Barreiras - BA;Fribarreiras Frigorífico Regional de Barreiras;;(77) 3614-5000;R-020, s/n - Distrito Industrial, Barreiras - BA, 47800-000;;
;Complexo Industrial de Aratu) - BA;Cabra Forte Alimentos LTDA;Tina - @cabraforte.com;(71) 3507-0970 71 / 99700-9666 | 71 99991-9666 | 71 99680-9666;Rodovia BR 324 Km 15,5 S/N CIA FUNDO Próximo ao Rei Da Pamonha Sentindo Feira de Santa Salvador - CIA Sul Fundo, Simões Filho - BA, 43700-000;;
;Eunápolis - BA;Frigorífico BoiNativo;André de Karvalho 73 - 999794192;(73) 99953-5300;Avenida Ruy Barbosa 479 Cx Postal 288 - Centro, Eunápolis - BA, 45820-970;andre.dekarvalho@gmail.com;
;Feira de Santana - BA;Frigorífico Campo do Gado | Bahia;Ubirata;75 3624.5987 | 3221.2769;R. Heráclito Dias de Carvalho, 1301, Feira de Santana - BA;compras@campodogado.com.br;
;Feira de Santana - BA;FRIFEIRA - Frigorífico Feira de Santana;;(75) 3683-1099;Rodovia BR 101 - s/n Km 177, Feira de Santana - BA, 44135-000;;
;Itapetinga - BA;Frigorífico Regional Sudoeste ltda;Thiago;(77) 21013360;Av. Paralela, 2342, Itapetinga - BA, 45700-000;suprimento@confrigo.com.br;
;Jequié - BA;Frigorifico Vale do Sol;Marcelo;(73) 98866-1404;Estr. p/ Frisuba, Jequié - BA;frigorificovaledosol@hotmail.com;
;JUAZEIRO - BA;Frigorífico Campo do Gado | Bahia;;74 99800.2769;LOTEAMENTO TABULEIRO, S/N, RODOVIA BA 210, KM 01;;
;Lauro de Freitas - BA;Frigorífico Big Frango;Fabio;(71) 3379-4148;Av. Luiz Tarquínio Pontes, 52 - Fazenda Pitangueira, Lauro de Freitas - BA, 42700-000;;
;Lauro de Freitas - BA;BSS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;Ester;(71) 3252-0000;Estr. Dr. Maurício - Quintas do Picuaia, Lauro de Freitas - BA, 42700-000;suprimentos@grupobss.ind.br;
;Luís Eduardo Magalhães - BA;Frigorífico FriLEM;contato@frilem.com.br ;77 3639-0279 / 77 9.9830-0204 ;Rodovia BR - 020, km - 202, Luís Eduardo Magalhães - BA, 47850-000;;
;Miguel Calmon - BA;Frigocezar;frigocezar@gmail.com;(74) 3627-2629 / (74) 99969-9389;Rodovia BA131, Km 20 - S/N - Bairro: Bagres, Miguel Calmon-Bahia CEP: 44720-000;;
;Riachão do Jacuípe - BA;FRIJACUÍPE;Vicente ;(75) 3264-3690 (75) 3264-3725;Rodovia Lomanto Júnior, S/N. Km 53. BR 324 - Riachão do Jacuípe;almoxarifado@frijacuipe.com.br;
;Salvador - BA;Frigorífico do Mané;rh@frigorificodomane.com.br;(71) 3307-8141;Av. Afrânio Peixoto, 36 - Paripe, Salvador - BA, 40800-570;;
;Salvador - BA;FRISA - Frigorífico Salvador;;(71) 3211-4486;R. da Etiópia, 5 - Jardim Cajazeiras, Salvador - BA, 41230-110;;
;Salvador - BA;Frisuba - Frigorífico Sudoeste Bahiano;;(71) 3215-7203;Estrada Campinas de Pirajá, 105 - Campinas de Pirajá, Salvador - BA, 41280-117;;
;Teixeira de Freitas - BA;Frisa Frigorífico Nordeste Alimentos;Jailson;(73) 3311-3311;Fazenda Caraipe Km 3, s/n - Fazenda Caraipe s/n, Teixeira de Freitas - BA, 45995-000;comprastf@frisa.com.br;
;Valença - BA;Frigorífico Araújo;Jidalma Goes;(75) 3641-4072;R. Álvaro Maciel, 737, Valença - BA, 45400-000;frigorificoaraujo2009@gmail.com;
;Vitória da Conquista - BA;CONFRIGO FRIGORIFICO LTDA;Carla;(77) 2101-3399;BR 116, Km 867 - Zona Rural, Vitória da Conquista - BA, 45025-906;suprimento01@confrigo.com.br;
;;;;;;;
;;;;;;;
;;;;;;;
;Anchieta - ES;FRIESUL -Frigorífico Estrela do Sul Ltda;;(28) 3536-7059;BR-101 km 352 s/n° zona rural, Anchieta - ES, 29230-000;;
;Anchieta - ES;Frigofama Frigorífico Fama;;(28) 3536-3648;Av. Zumira Rosa Antunes, 656 - Justica, Anchieta - ES, 29230-000;;
;Barra de São Francisco - ES;Frigorifico São Francisco;;;R. Ver. Lacy Costa, 417, Barra de São Francisco - ES, 29800-000;;
;Cachoeiro de Itapemirim-ES;Abav Abatedouro Atílio Vivácqua Ltda;Alessandra;(28) 3200-5010;Rua João Batista Calegário, 139 – B. Aeroporto CEP 29314-020 – Cachoeiro de Itapemirim-ES;alessandra@cofril.com.br;
;Cariacica - ES;#NOME?;Laila;(27) 3344-3020;R. das Mangueira, 120 - Vila Independência, Cariacica - ES, 29148-605;faturamento@maisboi.com.br;
;Cariacica - ES;Frigorifico Vitoria;Fran;(27) 3434-5151;Rodovia Governador José Sette km13, S/N - Porto de Cariacica, Cariacica - ES, 29156-700;frigorificovitoria@fvdistribuidora.com.br;
;Cariacica - ES;Mafrical - Frigorífico Cariacica;Viviane;(27) 3089-9700;Rod. Gov. José Henrique Sette, s/n - Planeta, Cariacica - ES;almoxarife02@mafrical.com.br;
;Cariacica - ES;D'Frango Frigorífico;Setor de Iluminação;(27) 3344-7123;R. Rosa Paula Paulina, 25 - Santa Bárbara, Cariacica - ES, 29145-290;atendimento@dfrango.com.br ;
;Cariacica - ES;Corella Frigorífico;Thais;(27) 3090-0202;Rua São Paulo Apóstolo, 16 - Tucum - Cariacica - ES, - Lote A2 - Tucum, Cariacica - ES, 29152-395;compras@corella.com.br;
